cluster,mobile,non-mobile,not known,Gene,Human,Poultry,Dog,Stored water,Household soil,Human.pct,Poultry.pct,Dog.pct,Stored water.pct,Household soil.pct,V2,total
Cluster 17032,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtN,1
Cluster 17033,1,0,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrS,1
Cluster 17034,1,0,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,msbA,1
Cluster 17035,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrS,1
Cluster 17036,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtA,1
Cluster 17037,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,ugd,1
Cluster 17038,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtP,1
Cluster 17039,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 1704,1,1,1,,0,3,0,0,0,0,2.7027027027027,0,0,0,AcrF,3
Cluster 17040,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,msbA,1
Cluster 17041,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,EC-15,1
Cluster 17042,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,gadW,1
Cluster 17043,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,acrB,1
Cluster 17044,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,dfrA14,1
Cluster 17045,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,acrB,1
Cluster 17046,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrE,1
Cluster 17047,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtO,1
Cluster 17048,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 17049,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 1705,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17050,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,evgS,1
Cluster 17051,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrB,1
Cluster 17052,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,msbA,1
Cluster 17053,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,msbA,1
Cluster 17054,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,CRP,1
Cluster 17055,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtB,1
Cluster 17056,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtE,1
Cluster 17057,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrD,1
Cluster 17058,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17059,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtN,1
Cluster 1706,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17060,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,TolC,1
Cluster 17061,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtH,1
Cluster 17062,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtH,1
Cluster 17063,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17064,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtM,1
Cluster 17065,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtC,1
Cluster 17066,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrY,1
Cluster 17067,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,eptA,1
Cluster 17068,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtF,1
Cluster 17069,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtM,1
Cluster 1707,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17070,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,CRP,1
Cluster 17071,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtO,1
Cluster 17072,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,acrB,1
Cluster 17073,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtM,1
Cluster 17074,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,emrR,1
Cluster 17075,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,YojI,1
Cluster 17076,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,acrD,1
Cluster 17077,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,baeS,1
Cluster 17078,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,msbA,1
Cluster 17079,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,baeS,1
Cluster 1708,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17080,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,AcrF,1
Cluster 17081,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,MdtK,1
Cluster 17082,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,PmrF,1
Cluster 17083,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtN,1
Cluster 17084,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,emrB,1
Cluster 17085,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtP,1
Cluster 17086,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,APH(6)-Id,1
Cluster 17087,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtP,1
Cluster 17088,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,cpxA,1
Cluster 17089,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtM,1
Cluster 1709,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17090,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,msbA,1
Cluster 17091,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,PmrF,1
Cluster 17092,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtO,1
Cluster 17093,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtA,1
Cluster 17094,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 17095,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,APH(3'')-Ib,1
Cluster 17096,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtB,1
Cluster 17097,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 17098,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 17099,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 171,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,evgS,1
Cluster 1710,0,1,1,,0,2,0,0,0,0,1.8018018018018,0,0,0,AcrF,2
Cluster 17100,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtC,1
Cluster 17101,1,0,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtM,1
Cluster 17102,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,mdtF,1
Cluster 17103,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,mdtB,1
Cluster 17104,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,CRP,1
Cluster 17105,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,eptA,1
Cluster 17106,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrB,1
Cluster 17107,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrS,1
Cluster 17108,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrS,1
Cluster 17109,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,kdpE,1
Cluster 1711,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17110,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtH,1
Cluster 17111,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 17112,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,YojI,1
Cluster 17113,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,evgA,1
Cluster 17114,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,Ecol_acrA,1
Cluster 17115,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrA,1
Cluster 17116,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,evgS,1
Cluster 17117,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtM,1
Cluster 17118,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtM,1
Cluster 17119,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtC,1
Cluster 1712,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17120,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtF,1
Cluster 17121,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,gadX,1
