A1076_straingst	1377795977	63356932	84376	128.785	78.868									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_VR50.fa.gz	48478	48397	84376	0.971	177.144	169.354	0.766	0.971	0.659	54.941	60.431	0.463	0.702
1	Esch_coli_RIVM_C018576.fa.gz	49656	21826	37374	0.924	72.827	65.821	0.578	0.924	0.937	23.927	10.656	0.427	0.455
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1080_straingst	1351444609	62122412	80136	138.034	81.849									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_Quinolone_resistant_GCF_904711295.1.fa.gz	44803	44749	80136	0.958	208.481	197.881	0.808	0.958	0.909	19.676	66.121	0.645	0.71
1	Esch_coli_Res13-Sevr-PER07-33.fa.gz	49217	19295	37274	0.83	40.046	32.748	0.302	0.83	0.734	7.894	4.745	0.127	0.172
2	Esch_coli_SCU-104.fa.gz	49924	6842	21260	0.539	174.169	78.942	0.433	0.539	0.923	54.279	4.754	0.063	0.068
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1081_straingst	1281820371	76299916	96336	117.197	88.08									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_SBF45.fa.gz	45706	45664	96336	0.973	195.612	189.427	0.77	0.973	0.624	37.656	67.81	0.443	0.709
1	Esch_coli_SCU-104.fa.gz	49924	17145	51901	0.803	107.885	78.851	0.572	0.803	0.77	29.724	11.589	0.228	0.296
2	Esch_coli_AH04.fa.gz	46945	10145	38132	0.707	24.64	16.348	0.159	0.707	0.661	20.7	1.378	0.037	0.056
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1083_straingst	1657774988	64169861	62460	244.209	92.01									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_DE17.fa.gz	48345	48316	62460	0.938	297.138	273.544	0.883	0.938	0.918	92.01	81.253	0.669	0.729
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1084_straingst	1622706830	60207713	74464	176.703	81.087									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_Quinolone_resistant_GCF_904711295.1.fa.gz	44803	44735	74464	0.949	240.325	225.813	0.775	0.949	0.821	14.268	62.848	0.543	0.662
1	Esch_coli_P15-385.fa.gz	47999	15023	32028	0.764	120.222	85.933	0.466	0.764	0.871	32.507	8.5	0.181	0.208
2	Esch_coli_VR50.fa.gz	48478	5275	20555	0.436	195.105	79.227	0.284	0.436	0.772	34.312	2.765	0.018	0.024
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1085_straingst	1539997665	61415653	58480	206.719	78.5									
